id,Index,Field,SampleDate,SOM,geometry,x,y,total_clay,BSI,CEC,EVI,mrvbf,NDVI,SAVI,slope,SBI,tpi,tri,twi
20,28,015,11/29/2021,1.9,POINT (501022.13675393 4479965.22390641),501022.1368,4479965.224,3.067532301,0.148699686,0.792310953,1.956311941,0.019477494,0.514439881,0.771598577,0.051595245,2182.666748,0.915006995,0.050346807,5.916505814
21,29,021,9/7/2022,4.7,POINT (500694.641243315 4480183.57143779),500694.6412,4480183.571,2.310433626,0.192852378,0.889001906,2.85752511,-0.002500653,0.633451939,0.950107515,0.003523594,1842.333374,-0.096717276,0.004733221,10.72799397
22,30,021,9/7/2022,3.6,POINT (500618.809292335 4480184.39192503),500618.8093,4480184.392,3.966751575,0.184493095,0.917088032,2.947620392,0.001001522,0.624596477,0.936822712,0.005029303,1898.333374,0.044541169,0.006080754,10.27789688
23,31,021,9/7/2022,3.8,POINT (500540.729872331 4480184.46563482),500540.7299,4480184.466,2.963850975,0.181110486,0.902177572,2.729944229,-0.00088329,0.563535035,0.845233202,0.008645635,2007.333374,-0.041011278,0.009628316,9.898903847
24,32,021,9/7/2022,3.2,POINT (500452.914493058 4480184.54854787),500452.9145,4480184.549,2.615928173,0.187206194,0.912917316,2.912298203,-0.002681096,0.623540103,0.935239255,0.007573372,1919.333374,-0.083920531,0.008616109,10.37932682
25,33,021,9/7/2022,2.9,POINT (500340.38478931 4480184.65478512),500340.3848,4480184.655,3.787379026,0.17010875,0.916947544,2.506164074,-0.005141,0.555269897,0.832837999,0.01655142,2246.666748,-0.066217415,0.016755767,10.09788704
26,34,021,9/7/2022,3,POINT (500216.621276862 4480184.77166466),500216.6213,4480184.772,2.446584225,0.156149805,0.904380918,2.8598032,0.000495094,0.629759789,0.944570541,0.009764626,2145.333252,0.045693938,0.010880799,9.661190987
27,35,021,9/7/2022,3.2,POINT (500116.074241737 4480184.86655828),500116.0742,4480184.867,4.38932085,0.165517613,0.935836077,2.812744379,0.001891961,0.633827627,0.950671673,0.009241846,2099.333252,0.016258104,0.011668961,10.0057354
28,36,022,8/23/2021,3.9,POINT (500694.996760153 4480288.23926896),500694.9968,4480288.239,3.07720089,0.21085909,0.920816898,0.401542842,-0.003707692,0.132420093,0.198613942,0.006186599,1918.666626,-0.099367768,0.008187553,9.556710243
29,37,022,8/23/2021,3.8,POINT (500617.797482591 4480289.06532948),500617.7975,4480289.065,2.662149191,0.212615192,0.933361053,1.685992599,-0.001801423,0.308704883,0.463008165,0.004813692,1828,-0.066647418,0.006361696,9.624418259
30,38,022,8/23/2021,3.3,POINT (500544.364547261 4480290.64084112),500544.3645,4480290.641,2.005128145,0.190804601,0.93305403,2.384071589,-0.001562893,0.476732165,0.715036631,0.009425408,2166.666748,-0.075994365,0.009708538,10.26892662
31,39,022,8/23/2021,2.4,POINT (500453.606042213 4480288.46720731),500453.606,4480288.467,1.234949708,0.150855079,0.87910676,1.296071291,0.000931436,0.321070224,0.481565088,0.004731773,2211.333252,0.050622728,0.005633435,10.02946377
32,40,022,8/23/2021,2.9,POINT (500324.442334481 4480290.84848497),500324.4423,4480290.848,3.569448471,0.177999914,0.913607359,2.826963663,-0.001552887,0.564699709,0.846975386,0.006686486,2297.333252,-0.10193298,0.007272739,11.33142662
33,41,022,8/23/2021,2.8,POINT (500223.895274805 4480290.94342701),500223.8953,4480290.943,2.229186773,0.159440398,0.902568102,0.804481626,-0.002854212,0.238980517,0.358443886,0.007320094,2331.333252,-0.095566511,0.007998788,10.99789143
34,42,022,8/23/2021,2,POINT (500123.348294056 4480291.03832265),500123.3483,4480291.038,4.119358063,0.155380189,0.871696055,0.717691541,-0.002763886,0.22716628,0.34072724,0.00749782,2308.333252,-0.093595646,0.008350723,11.24507999
35,51,023,8/23/2021,2.5,POINT (500703.664801643 4480391.83668141),500703.6648,4480391.837,1.660281539,0.177380696,0.887034774,2.938448429,0.004223779,0.625860512,0.938720524,0.008441224,1922.666626,0.123911291,0.010584314,9.689980507
36,52,023,8/23/2021,2.1,POINT (500603.117797207 4480391.93161835),500603.1178,4480391.932,3.272446632,0.176904827,0.875984669,2.849415541,0.005616626,0.656120241,0.984109938,0.007261319,1884,0.151612952,0.009058947,10.79044056
37,53,023,8/23/2021,2.6,POINT (500502.570795681 4480392.02660874),500502.5708,4480392.027,0.979153872,0.182164609,0.904422104,2.845382452,0.006563997,0.652704835,0.978987694,0.011976376,1960.666626,0.146184877,0.013481799,9.508294106
38,54,023,8/23/2021,2.5,POINT (500402.023797028 4480392.12145294),500402.0238,4480392.121,5.008625984,0.193332672,0.904726446,2.790496349,0.001232862,0.647802353,0.971633732,0.009246073,1876.666626,0.033245828,0.010948105,9.552630424
39,55,023,8/23/2021,2.2,POINT (500301.476801163 4480392.21645041),500301.4768,4480392.216,2.720832586,0.183224976,0.903324246,2.834992886,0.004252199,0.646450102,0.969605505,0.008551119,1932.333374,0.07384216,0.009965319,9.406705856
40,56,023,8/23/2021,1.7,POINT (500200.929808035 4480392.31130167),500200.9298,4480392.311,5.435410976,0.155055746,0.917113364,2.859935284,0.005669286,0.626457989,0.939617634,0.014429103,2400.666748,0.237808764,0.015091958,9.532680511
41,57,023,8/23/2021,2,POINT (500100.382741348 4480392.40630621),500100.3827,4480392.406,1.220890164,0.171056598,0.927983761,2.971127033,0.003892,0.600000024,0.899929464,0.012979413,2019,0.185003757,0.014678624,10.62874699
42,65,024,8/23/2021,3.1,POINT (500594.332671483 4480495.25541346),500594.3327,4480495.255,1.523458481,0.180650845,0.896869898,2.060741186,0.004694104,0.42603761,0.63899976,0.012084055,2137.666748,0.026475651,0.014918605,9.000124931
43,66,024,8/23/2021,3.6,POINT (500493.785686432 4480495.35042187),500493.7857,4480495.35,4.65890646,0.208814934,0.935708165,1.895368814,0.006319837,0.322493225,0.483689427,0.010628924,1878.333374,0.046811853,0.012998224,9.045147896
44,67,024,8/23/2021,3.9,POINT (500393.238704242 4480495.44528411),500393.2387,4480495.445,3.480468512,0.211370826,0.941608131,1.971309662,0.003257867,0.35061729,0.525871813,0.00786247,1825.333374,-0.050765757,0.00997482,9.697991371
45,68,024,8/23/2021,3.6,POINT (500292.691648609 4480495.54019985),500292.6916,4480495.54,1.654994726,0.20912309,0.943017125,1.904870868,0.006843986,0.336022586,0.50398308,0.010777327,1921.666626,0.054310009,0.012516513,9.659858704
46,69,024,8/23/2021,3.3,POINT (500192.144671935 4480495.63516908),500192.1447,4480495.635,4.296103954,0.203110829,0.943471432,2.065593719,0.004465047,0.402700543,0.603990853,0.009950373,1873.333374,0.013082601,0.011671293,10.38302326
47,70,024,8/23/2021,2.9,POINT (500091.5976217 4480495.73009199),500091.5976,4480495.73,4.636567593,0.183864102,0.928689241,1.771193027,0.000981368,0.355124027,0.532634795,0.021181291,2031,-0.037970398,0.021479437,9.744971275
48,77,032,8/6/2021,3,POINT (501206.36528647 4480285.76002274),501206.3653,4480285.76,4.780899048,0.171978757,0.896916986,3.018430233,-0.002428913,0.634564459,0.951780379,0.011053501,2123.333252,-0.029536016,0.014464248,9.272928238
49,78,032,8/6/2021,3.3,POINT (501105.818295877 4480285.85489306),501105.8183,4480285.855,3.073071003,0.185853049,0.888096213,2.780119419,-0.00366788,0.532458782,0.798621058,0.00679156,2062.666748,-0.072203837,0.010301217,8.982058525
50,79,032,8/6/2021,4.5,POINT (501005.271308501 4480285.94981679),501005.2713,4480285.95,4.787100315,0.206059664,0.934371829,2.906915188,-0.004065171,0.576815665,0.865147948,0.011930928,1829,-0.08393994,0.013963848,9.25638485
51,80,032,8/6/2021,4.6,POINT (500904.724324288 4480286.04479391),500904.7243,4480286.045,1.273787737,0.202996701,0.958223999,2.843559265,-0.002339057,0.565465569,0.848122716,0.007425935,1778,-0.081394918,0.009475486,10.79755211
52,81,032,8/6/2021,3.2,POINT (500804.177343179 4480286.13972462),500804.1773,4480286.14,1.666327715,0.187706545,0.922778845,1.564677954,0.000138175,0.339479983,0.509173036,0.004595945,2101.333252,-0.035984498,0.006393005,9.825298309
53,87,033,9/7/2022,4.2,POINT (500807.714336319 4480388.55898251),500807.7143,4480388.559,1.235460162,0.199016109,0.924034715,2.909121513,0.000389956,0.587538123,0.88123256,0.013468534,1859.333374,0.088310786,0.014845839,8.908545494
54,88,033,9/7/2022,5.1,POINT (500908.261389617 4480388.46399987),500908.2614,4480388.464,4.149982452,0.190085381,0.941583812,2.964303017,-0.000927914,0.60235256,0.903455019,0.009084315,1776.666626,-0.209756255,0.01180823,10.60973549
55,89,033,9/7/2022,3.2,POINT (501008.80836977 4480388.3691705),501008.8084,4480388.369,4.876723289,0.167640924,0.843343973,2.017451525,0.005645239,0.46321243,0.694758654,0.0098297,2093.333252,0.157561868,0.014105361,8.995741844
56,90,033,9/7/2022,3.8,POINT (501109.355353113 4480388.27419494),501109.3554,4480388.274,3.999052048,0.16109632,0.804427147,2.129571199,0.004122254,0.460620522,0.690871894,0.006990592,2076,0.08361242,0.013116215,8.614356995
57,91,033,9/7/2022,4.3,POINT (501209.902339672 4480388.17927281),501209.9023,4480388.179,4.804841042,0.164408356,0.807558715,2.392491341,0.004890377,0.47980836,0.719650924,0.009531605,2042,0.028638553,0.012345393,9.030233383
58,92,034,9/7/2022,4.8,POINT (500807.168713065 4480491.29116502),500807.1687,4480491.291,3.15614152,0.194091544,0.938144624,2.969302177,-0.004971108,0.563559294,0.845264375,0.00823642,1797.333374,-0.168826014,0.010397768,9.767242432
59,93,034,9/7/2022,3.4,POINT (500907.715757965 4480491.19627524),500907.7158,4480491.196,2.949480057,0.189875782,0.925236642,2.69273138,0.000353318,0.525994956,0.788921773,0.00522901,1897.666626,0.037425529,0.009687259,9.768336296
60,94,034,9/7/2022,3.3,POINT (501008.262729745 4480491.10133912),501008.2627,4480491.101,2.217773914,0.186652258,0.916501164,2.834376097,0.001303346,0.526995063,0.790420771,0.005658416,1926.666626,0.051409401,0.009251981,9.427166939
61,95,034,9/7/2022,3.5,POINT (501108.809704699 4480491.00635665),501108.8097,4480491.006,3.709033728,0.189864486,0.926025927,2.853018284,0.001355833,0.564284503,0.846353471,0.005213298,1972.666626,0.003144557,0.008661287,9.969444275
62,96,034,9/7/2022,3.6,POINT (501209.356682873 4480490.91142769),501209.3567,4480490.911,3.346846819,0.207745761,0.912479818,2.60832262,0.001467914,0.469498068,0.704179108,0.006665529,1834,0.015442658,0.009161608,9.252448082
63,97,041,9/7/2022,2,POINT (499979.252426247 4480603.44953279),499979.2524,4480603.45,3.994134903,0.145589665,0.87495786,2.417099476,-0.001943532,0.561398089,0.842032015,0.008388065,2148,-0.003623869,0.009859242,9.853069305
64,98,041,9/7/2022,2.1,POINT (500079.799475761 4480603.35459749),500079.7995,4480603.355,3.857446432,0.1734429,0.917066157,2.330949783,-0.000467282,0.507187545,0.760716975,0.012238557,2170.666748,0.130954936,0.013325716,9.907279968
65,99,041,9/7/2022,3.3,POINT (500180.346451642 4480603.25971573),500180.3465,4480603.26,2.659229517,0.193949789,0.914677322,2.799659014,-0.001620741,0.533080935,0.799549341,0.009559435,1840.666626,-0.019387184,0.01078371,10.62090969
66,100,041,9/7/2022,3.3,POINT (500280.893506411 4480603.16478769),500280.8935,4480603.165,3.643699408,0.188850492,0.921977878,2.79336071,0.002384788,0.548927248,0.823319077,0.010807013,1864.333374,0.201228693,0.012100442,9.761307716
67,101,041,9/7/2022,3.9,POINT (500381.44048768 4480603.06981336),500381.4405,4480603.07,2.929988146,0.205423623,0.883928716,0.451910794,-0.006882671,0.150425121,0.225619227,0.011615145,1908.666626,-0.206541553,0.013982913,9.437026978
68,102,041,9/7/2022,2.9,POINT (500481.987471731 4480602.97489257),500481.9875,4480602.975,4.467946529,0.182688415,0.865492463,0.410578728,-0.000837249,0.149657845,0.224470064,0.010920313,2059.333252,-0.045088302,0.013293217,9.209239006
69,103,042,9/7/2022,3.2,POINT (499982.361327834 4480705.3935874),499982.3613,4480705.394,2.786284447,0.178788871,0.907818437,2.540168524,-0.000904325,0.551128805,0.826624632,0.005135259,2045.333374,-0.045286361,0.008279298,9.591715813
70,104,042,9/7/2022,3.8,POINT (500082.908379467 4480705.29869388),500082.9084,4480705.299,4.007567406,0.192497671,0.911684155,2.521517754,-0.001591288,0.485499054,0.728179991,0.01550082,1811.333374,-0.098147109,0.015807133,9.927438736
71,105,042,9/7/2022,3.8,POINT (500183.455357474 4480705.20375412),500183.4554,4480705.204,1.860255837,0.194397748,0.929381728,2.681145906,-0.001478723,0.523391783,0.785016,0.005543992,1838.333374,-0.052419834,0.008049381,9.673178673
72,106,042,9/7/2022,4.7,POINT (500284.002414365 4480705.10886794),500284.0024,4480705.109,4.672326088,0.206188217,0.928042889,2.878469229,-0.007504265,0.514468253,0.77162987,0.006646744,1766.333374,-0.264290065,0.009559403,10.25889015
73,107,042,9/7/2022,3.7,POINT (500384.549397761 4480705.01393553),500384.5494,4480705.014,4.516467094,0.192484289,0.925524116,2.62784338,-0.005542581,0.557304144,0.83588469,0.007263334,2028,-0.146566451,0.010626944,10.23963737
74,108,042,9/7/2022,3.1,POINT (500485.096383944 4480704.91895687),500485.0964,4480704.919,1.409352779,0.179718688,0.914507747,1.150282741,-0.008042928,0.279420167,0.419090301,0.012863358,2129.333252,-0.102614023,0.014844237,9.843410492
75,109,043,9/7/2022,3,POINT (499983.625883738 4480806.64298662),499983.6259,4480806.643,3.769424677,0.188785627,0.916493058,1.562957644,-0.002567432,0.318894684,0.478297383,0.008583168,1956,-0.085057199,0.010057141,10.36428165
76,110,043,9/7/2022,3.6,POINT (500084.172946742 4480806.54801027),500084.1729,4480806.548,2.455093384,0.196527421,0.922717094,1.548794985,-0.007109703,0.303875983,0.455769777,0.007901593,1952.666626,-0.148504555,0.010071313,10.51188374
77,111,043,9/7/2022,3.8,POINT (500184.719936117 4480806.45308754),500184.7199,4480806.453,2.022949457,0.193821013,0.920024455,1.788990736,-0.006175737,0.345931351,0.518846989,0.009541894,1917.666626,-0.107276842,0.011108228,9.648822784
78,112,043,9/7/2022,3.6,POINT (500285.266928154 4480806.35821844),500285.2669,4480806.358,1.48241353,0.202390105,0.923600078,1.20653975,-0.005186502,0.236511156,0.354730755,0.009987448,1919.666626,-0.081613816,0.012464206,9.09662056
79,113,043,9/7/2022,3.8,POINT (500385.813922921 4480806.26330315),500385.8139,4480806.263,5.420331001,0.194887444,0.91621089,0.832740188,-0.005253277,0.18855761,0.282807946,0.011190674,1925.666626,-0.227434024,0.013534059,9.688872337
80,114,043,9/7/2022,3.8,POINT (500486.360920474 4480806.16834166),500486.3609,4480806.168,1.292421818,0.196955264,0.917624116,0.899962127,-0.006127831,0.192385584,0.288549155,0.014012435,1934.666626,-0.144641787,0.01495056,9.96855545
81,115,044,9/7/2022,2.8,POINT (499980.619638501 4480907.90129628),499980.6196,4480907.901,1.615125775,0.183541492,0.922760248,1.16456902,-0.002925017,0.267276049,0.400877446,0.0111686,2060.666748,-0.081234254,0.012206668,10.11703014
82,116,044,9/7/2022,4,POINT (500081.166636407 4480907.80627952),500081.1666,4480907.806,4.355921268,0.200230286,0.922397137,1.419951797,-0.002745957,0.280158728,0.420196414,0.006935225,1942.666626,-0.122859389,0.009546297,9.915434837
83,117,044,9/7/2022,3.7,POINT (500181.713636912 4480907.71141626),500181.7136,4480907.711,1.531602025,0.200177252,0.923694253,1.501751184,-0.005962074,0.278409094,0.417571276,0.008595143,1826.666626,-0.148211777,0.011258743,9.349061966
84,118,044,9/7/2022,3.6,POINT (500282.26064008 4480907.61650684),500282.2606,4480907.617,0.901380479,0.190491319,0.9241696,1.405018687,-0.008455056,0.272910386,0.409324348,0.014761636,1934.666626,-0.166911304,0.015920116,9.971364975
85,119,044,9/7/2022,4,POINT (500382.807645979 4480907.52155128),500382.8076,4480907.522,4.586907864,0.205784634,0.926049292,1.741226912,-0.006967514,0.279690176,0.419490159,0.01014364,1751.666626,-0.255060583,0.013161689,10.35502815
86,120,044,9/7/2022,2.8,POINT (500483.354654662 4480907.42654955),500483.3547,4480907.427,2.191853285,0.188154936,0.92218411,1.106005907,-0.005629581,0.248892173,0.373303801,0.008906611,2076.666748,-0.064711057,0.013240066,8.81985569
87,121,051,9/7/2022,4.5,POINT (500580.210902815 4480602.72012606),500580.2109,4480602.72,2.172379971,0.199267745,0.911649287,2.802944422,0.002073696,0.538238466,0.807284594,0.009387643,1837.333374,-0.107137866,0.012381454,9.61033535
88,122,051,9/7/2022,3.6,POINT (500580.305862002 4480703.26715688),500580.3059,4480703.267,1.224621773,0.181744337,0.925174892,2.938393593,0.007873436,0.517880321,0.776748478,0.021512112,1833.666626,0.036258288,0.022842878,9.152959824
89,123,051,9/7/2022,3.6,POINT (500580.40081829 4480803.81410368),500580.4008,4480803.814,3.810825109,0.1863783,0.922464609,2.265318871,0.002283123,0.425581396,0.638310254,0.024270916,1985.333374,0.041584358,0.025696453,8.638841629
90,124,051,9/7/2022,4.5,POINT (500580.495695435 4480904.36116611),500580.4957,4480904.361,4.865855217,0.200080395,0.919509232,2.523737431,-0.004604361,0.463995248,0.695923805,0.015313323,1755,-0.323747039,0.018114617,9.310176849
91,125,052,9/7/2022,4,POINT (500679.950403333 4480601.63704805),500679.9504,4480601.637,4.392322063,0.183952257,0.908626199,2.810856342,-0.000135127,0.539182127,0.808700323,0.013646445,1905.333374,0.005193091,0.015975587,9.084499359
92,126,052,9/7/2022,5.3,POINT (500680.045318018 4480702.18408022),500680.0453,4480702.184,3.826366663,0.198668286,0.919766009,2.868294716,-0.002237484,0.528587222,0.792807758,0.010173135,1835.333374,-0.160497934,0.014580974,9.690489769
93,127,052,9/7/2022,3,POINT (500680.140305975 4480802.73102839),500680.1403,4480802.731,3.209269762,0.166427076,0.910823464,2.684046984,0.000872027,0.589076698,0.883543253,0.01031651,2265.666748,0.132762253,0.012966395,9.601268768
94,128,052,9/7/2022,3.7,POINT (500680.23521472 4480903.27809219),500680.2352,4480903.278,3.108504295,0.185222447,0.910767198,2.836359978,-0.002264199,0.529433191,0.794077456,0.009437324,1914.666626,-0.011930394,0.013563141,9.259797096
95,129,053,8/23/2021,3.9,POINT (500784.05249127 4480903.98871915),500784.0525,4480903.989,2.441368103,0.208606496,0.939724386,2.348053217,0.002392858,0.508657634,0.762921035,0.009493464,1866.666626,-0.00533375,0.012414985,9.093344688
96,130,053,8/23/2021,3.5,POINT (500783.957529512 4480803.44175341),500783.9575,4480803.442,2.475689411,0.183019653,0.914355993,0.432532698,0.006284771,0.149915397,0.224854067,0.010678541,2105,0.057591595,0.014312435,8.534905434
97,131,053,8/23/2021,2.8,POINT (500783.862564737 4480702.89470367),500783.8626,4480702.895,2.534359217,0.177702919,0.925471246,0.384483933,0.00514008,0.142947897,0.214404821,0.011649029,2266,0.17603381,0.01532271,8.419108391
98,132,053,8/23/2021,3,POINT (500783.767673145 4480602.34776957),500783.7677,4480602.348,2.275168657,0.176428765,0.92492801,0.44241178,0.006015492,0.155003265,0.232485905,0.017756727,2225.333252,0.081243895,0.019641696,8.404527664
99,133,053,9/7/2022,0,POINT (500784.928047212 4480602.3465935),500784.928,4480602.347,2.275168657,0.176428765,0.92492801,0.44241178,0.006015492,0.155003265,0.232485905,0.017756727,2225.333252,0.081243895,0.019641696,8.404527664
100,134,053,9/7/2022,0,POINT (500785.022999423 4480702.89362745),500785.023,4480702.894,2.534359217,0.177702919,0.925471246,0.384483933,0.00514008,0.142947897,0.214404821,0.011649029,2266,0.17603381,0.01532271,8.419108391
101,135,053,9/7/2022,0,POINT (500785.117948603 4480803.44067722),500785.1179,4480803.441,2.475689411,0.183019653,0.914355993,0.432532698,0.006284771,0.149915397,0.224854067,0.010678541,2105,0.057591595,0.014312435,8.534905434
102,136,053,9/7/2022,0,POINT (500785.212894765 4480903.98764296),500785.2129,4480903.988,2.441368103,0.208606496,0.939724386,2.348053217,0.002392858,0.508657634,0.762921035,0.009493464,1866.666626,-0.00533375,0.012414985,9.093344688
103,137,054,8/23/2021,3.2,POINT (500883.918299051 4480893.69369866),500883.9183,4480893.694,2.873749733,0.172200844,0.844924867,2.543360233,0.002768481,0.574533224,0.861733854,0.005728835,2130.666748,-0.005346342,0.00749965,10.18196201
104,138,054,8/23/2021,2.7,POINT (500883.823383449 4480793.14673293),500883.8234,4480793.147,2.411905766,0.147636041,0.846693814,2.761089325,0.001088353,0.593721688,0.890515327,0.00787333,2091.666748,0.07138408,0.009409395,9.247951508
105,139,054,8/23/2021,4.3,POINT (500883.728388536 4480692.59968318),500883.7284,4480692.6,2.139303207,0.13975431,0.86853981,2.727731466,0.000749968,0.631056607,0.946515858,0.009578297,1873.666626,-0.018320436,0.012681318,9.161061287
106,140,054,8/23/2021,3.5,POINT (500883.633466749 4480592.05274908),500883.6335,4480592.053,2.260127306,0.166925535,0.895585299,2.671398163,-0.000319791,0.571567059,0.857281327,0.008166875,1887,-0.012268991,0.012402327,8.920204163
107,145,055,8/23/2021,2.9,POINT (500982.773513191 4480918.94768848),500982.7735,4480918.948,2.007548571,0.166248962,0.88733989,0.576601684,0.000899809,0.183891028,0.275816113,0.007677459,2232,-0.02039087,0.011749378,9.412330627
108,146,055,8/23/2021,2.7,POINT (500982.678554581 4480818.40071713),500982.6786,4480818.401,2.746256113,0.154438064,0.906511009,0.535746098,0.000678414,0.176816717,0.265205562,0.00872481,2530.666748,0.016107209,0.013598695,8.925745964
109,147,055,9/7/2022,0,POINT (500981.273684954 4480588.75634514),500981.2737,4480588.756,3.25832963,0.187199995,0.830301225,2.578403473,-0.001836981,0.512212396,0.768250585,0.005614644,2078.666748,-0.141046792,0.008365505,9.541250229
110,148,055,9/7/2022,0,POINT (500981.924984168 4480688.74583518),500981.925,4480688.746,2.484637976,0.179655999,0.822001815,2.854964256,0.004273637,0.600000024,0.899927914,0.007101178,2160.666748,0.050826885,0.008883303,9.361905098
111,149,055,9/7/2022,0,POINT (500980.323338398 4480762.00401674),500980.3233,4480762.004,2.94422245,0.184820935,0.845561802,2.526120663,-0.002124413,0.514589787,0.771818399,0.008596874,2196.333252,-0.11381264,0.010354637,9.542446136
112,150,055,9/7/2022,2.4,POINT (500979.831343981 4480830.80550007),500979.8313,4480830.806,2.672172308,0.169403061,0.882908344,0.433965355,0.002182746,0.154315606,0.231456593,0.005182454,2311.333252,0.051647194,0.01142846,8.869139671
113,151,055,9/7/2022,2.6,POINT (500983.244547857 4480906.5471842),500983.2445,4480906.547,1.76448822,0.160961404,0.888050318,0.566055119,0.000691443,0.182195842,0.273273498,0.007224925,2287.333252,0.03153142,0.011021639,9.34236908
114,152,056,9/9/2022,4,POINT (501084.789069829 4480601.12128585),501084.7891,4480601.121,3.284725428,0.202189058,0.934146404,2.824497223,0.00029692,0.558366477,0.837474048,0.004965447,1762.333374,-0.027501451,0.008764045,10.11492729
115,153,056,9/9/2022,4.1,POINT (501084.884032326 4480701.6683246),501084.884,4480701.668,3.093003988,0.202049464,0.938807607,3.148220539,-0.000311202,0.571327209,0.856914759,0.00506361,1792.666626,0.009505786,0.007861188,11.10215569
